sample_index,sample_id,target_mass_kg,target_mass_index,action_id,action_amplitude,red_displacement_px,red_visible_fraction,blue_visible_fraction,red_final_margin_px,blue_final_margin_px,red_offscreen,blue_offscreen,strict_both_visible,displacement_class,selection_score
0,mass_collision_noleak:ep000000:frames0000-0060,2.0,29,0,0.38,2.0,1.0,1.0,94.5,110.64634146341463,False,False,True,outside_informative_band,123.0
1,mass_collision_noleak:ep000001:frames0000-0060,0.9129817872407724,28,0,0.38,6.0,1.0,1.0,90.5,109.15819209039547,False,False,True,outside_informative_band,119.0
3,mass_collision_noleak:ep000003:frames0000-0060,0.509433585,26,0,0.38,14.838983050847446,1.0,1.0,81.66101694915255,105.20555555555555,False,False,True,outside_informative_band,110.16101694915255
5,mass_collision_noleak:ep000005:frames0000-0060,0.36666105396263127,24,0,0.38,21.335256008671067,1.0,1.0,75.16475095785441,99.16666666666667,False,False,True,outside_informative_band,103.66474399132893
6,mass_collision_noleak:ep000006:frames0000-0060,0.302980968,23,0,0.38,27.92857800337551,1.0,1.0,68.57142857142858,96.1470588235294,False,False,True,inside_informative_band,14.57142199662449
7,mass_collision_noleak:ep000007:frames0000-0060,0.2567309741554602,22,0,0.38,34.48347947933742,1.0,1.0,62.01655629139074,92.26470588235293,False,False,True,inside_informative_band,8.016520520662581
9,mass_collision_noleak:ep000009:frames0000-0060,0.206122244,20,0,0.38,43.12678315353009,1.0,1.0,53.373860182370834,85.97235023041475,False,False,True,inside_informative_band,0.6267831535300914
10,mass_collision_noleak:ep000010:frames0000-0060,0.1742944349721352,19,0,0.38,51.912496814391105,1.0,1.0,44.58791208791209,81.35021097046413,False,False,True,inside_informative_band,9.412496814391105
16,mass_collision_noleak:ep000016:frames0000-0060,0.09233397390639964,13,0,0.38,89.0,1.0,1.0,7.5,59.184931506849324,False,False,False,outside_informative_band,129.0
19,mass_collision_noleak:ep000019:frames0000-0060,0.075892716,10,0,0.38,94.55128205128204,1.0,1.0,1.5,51.175757575757586,False,False,False,outside_informative_band,134.55128205128204
30,mass_collision_noleak:ep000030:frames0000-0060,2.0,29,1,0.42,2.0,1.0,1.0,94.5,110.39506172839506,False,False,True,outside_informative_band,123.0
31,mass_collision_noleak:ep000031:frames0000-0060,0.9129817872407724,28,1,0.42,6.838983050847446,1.0,1.0,89.66101694915255,107.49717514124293,False,False,True,outside_informative_band,118.16101694915255
33,mass_collision_noleak:ep000033:frames0000-0060,0.509433585,26,1,0.42,17.0,1.0,1.0,79.5,101.88144329896907,False,False,True,outside_informative_band,108.0
35,mass_collision_noleak:ep000035:frames0000-0060,0.36666105396263127,24,1,0.42,26.02831344416302,1.0,1.0,70.47169811320754,95.8780487804878,False,False,True,inside_informative_band,16.47168655583698
36,mass_collision_noleak:ep000036:frames0000-0060,0.302980968,23,1,0.42,30.682224595714594,1.0,1.0,65.81881533101046,88.42380952380952,False,False,True,inside_informative_band,11.817775404285406
37,mass_collision_noleak:ep000037:frames0000-0060,0.2567309741554602,22,1,0.42,39.99267319311714,1.0,1.0,56.51524390243901,85.32188841201716,False,False,True,inside_informative_band,2.5073268068828582
39,mass_collision_noleak:ep000039:frames0000-0060,0.206122244,20,1,0.42,51.66627136986991,1.0,1.0,44.83701657458565,77.48559670781893,False,False,True,inside_informative_band,9.16627136986991
40,mass_collision_noleak:ep000040:frames0000-0060,0.1742944349721352,19,1,0.42,63.27679323700179,1.0,1.0,33.223809523809535,71.19548872180451,False,False,True,outside_informative_band,103.27679323700178
46,mass_collision_noleak:ep000046:frames0000-0060,0.09233397390639964,13,1,0.42,94.31176470588235,1.0,1.0,1.5,38.59556786703601,False,False,False,outside_informative_band,134.31176470588235
49,mass_collision_noleak:ep000049:frames0000-0060,0.075892716,10,1,0.42,nan,0.8360655737704918,1.0,0.5,27.578005115089525,True,False,False,outside_informative_band,nan
60,mass_collision_noleak:ep000060:frames0000-0060,2.0,29,2,0.46,2.0,1.0,1.0,94.5,110.39263803680981,False,False,True,outside_informative_band,123.0
61,mass_collision_noleak:ep000061:frames0000-0060,0.9129817872407724,28,2,0.46,8.838983050847446,1.0,1.0,87.66101694915255,107.30386740331491,False,False,True,outside_informative_band,116.16101694915255
63,mass_collision_noleak:ep000063:frames0000-0060,0.509433585,26,2,0.46,21.62517075664158,1.0,1.0,74.875,101.30939226519337,False,False,True,outside_informative_band,103.37482924335842
65,mass_collision_noleak:ep000065:frames0000-0060,0.36666105396263127,24,2,0.46,34.6471695679795,1.0,1.0,61.853242320819106,94.26470588235293,False,False,True,inside_informative_band,7.852830432020497
66,mass_collision_noleak:ep000066:frames0000-0060,0.302980968,23,2,0.46,45.00438451636456,1.0,1.0,51.49707602339183,88.23076923076923,False,False,True,inside_informative_band,2.50438451636456
67,mass_collision_noleak:ep000067:frames0000-0060,0.2567309741554602,22,2,0.46,55.36487255190602,1.0,1.0,41.13612565445027,82.04954954954954,False,False,True,inside_informative_band,12.864872551906018
69,mass_collision_noleak:ep000069:frames0000-0060,0.206122244,20,2,0.46,71.67239589184875,1.0,1.0,24.793258426966304,72.94961240310079,False,False,True,outside_informative_band,111.67239589184875
70,mass_collision_noleak:ep000070:frames0000-0060,0.1742944349721352,19,2,0.46,84.08839383824723,1.0,1.0,12.41162227602905,64.28716216216216,False,False,False,outside_informative_band,124.08839383824723
76,mass_collision_noleak:ep000076:frames0000-0060,0.09233397390639964,13,2,0.46,nan,0.7049180327868853,1.0,0.48387096774192173,21.237037037037027,True,False,False,outside_informative_band,nan
79,mass_collision_noleak:ep000079:frames0000-0060,0.075892716,10,2,0.46,nan,0.639344262295082,1.0,1.5,11.140883977900558,True,False,False,outside_informative_band,nan
90,mass_collision_noleak:ep000090:frames0000-0060,2.0,29,3,0.56,3.7958334417563777,1.0,1.0,92.70422535211267,110.56969696969696,False,False,True,outside_informative_band,121.20416655824363
91,mass_collision_noleak:ep000091:frames0000-0060,0.9129817872407724,28,3,0.56,11.0,1.0,1.0,85.5,105.27777777777777,False,False,True,outside_informative_band,114.0
93,mass_collision_noleak:ep000093:frames0000-0060,0.509433585,26,3,0.56,28.0392937530197,1.0,1.0,68.46096654275092,94.22277227722773,False,False,True,inside_informative_band,14.460706246980301
95,mass_collision_noleak:ep000095:frames0000-0060,0.36666105396263127,24,3,0.56,46.67370477083787,1.0,1.0,49.83050847457628,85.27826086956523,False,False,True,inside_informative_band,4.1737047708378725
96,mass_collision_noleak:ep000096:frames0000-0060,0.302980968,23,3,0.56,63.08009632194485,1.0,1.0,33.42092457420924,77.49794238683128,False,False,True,outside_informative_band,103.08009632194485
97,mass_collision_noleak:ep000097:frames0000-0060,0.2567309741554602,22,3,0.56,78.6768627119023,1.0,1.0,17.77631578947367,68.36896551724138,False,False,False,outside_informative_band,118.6768627119023
99,mass_collision_noleak:ep000099:frames0000-0060,0.206122244,20,3,0.56,94.04268857697004,1.0,1.0,2.4130434782608745,55.49691358024691,False,False,False,outside_informative_band,134.04268857697002
