sample_index,split,friction_mu,inner_step,pc1,pc2,context_delta_l2,nearest_active_mu,nearest_active_l2
0,ID,0.002,40,-0.11957526492640172,0.24558788943723905,0.3384075599244824,0.0228,0.14559546049505143
10,OOD,0.0036,40,-0.1647156518206378,0.295629552880986,0.41203987493606775,0.0228,0.16093250334202377
193,OOD,0.0324,40,-0.06534006525532689,0.20589059072139843,0.2792152599153762,0.026,0.13306321790803624
203,ID,0.034,40,-0.07403860700085732,0.20621738027726405,0.2817250306465618,0.026,0.12158907595501743
374,OOD,0.0675,40,0.039326902418036346,0.04903118897169808,0.10257038654512791,0.0625,0.20658969132916055
404,ID,0.075,40,0.04793643682070807,0.013044498388207806,0.08518446500105568,0.08,0.18585481695098852
596,ID,0.1225,40,0.14083324110056156,-0.16035399126032462,0.2750852732677634,0.0975,0.1695516276223566
606,OOD,0.12499999999999999,40,0.14343062701722348,-0.16593048099063087,0.28193128001354323,0.0975,0.1737760354532076
788,OOD,0.19444444444444445,40,0.17482904333460736,-0.21076880195682146,0.3476862492823106,0.0975,0.18712919256245236
798,ID,0.2,40,0.14071138517783102,-0.20542382329114656,0.33694194610026657,0.0975,0.21657025254499343
