domain,environment_id,physical_friction_mu,support_action_id,support_index,query_count,query_indices
id,shared_friction_group_0,0.002,0,0,9,301 602 903 1204 305 606 907 1208 309
id,shared_friction_group_9,0.04127272727272727,3,93,9,690 991 1292 394 695 996 1297 398 699
id,shared_friction_group_15,0.07666666666666666,4,154,9,1050 1351 452 753 1055 1356 457 758 1059
id,shared_friction_group_20,0.11,5,205,9,1400 501 802 1103 1404 506 807 1108 1409
id,shared_friction_group_29,0.2,8,298,9,590 891 1192 1493 594 895 1196 1497 599
ood,shared_friction_group_1,0.006363636363636364,1,11,9,610 912 1213 314 615 916 1217 318 619
ood,shared_friction_group_8,0.03690909090909091,3,83,9,980 1281 382 684 985 1286 387 688 989
ood,shared_friction_group_13,0.06333333333333334,4,134,9,1330 431 732 1033 1335 436 737 1038 1339
ood,shared_friction_group_21,0.11666666666666667,5,215,9,510 811 1112 1413 514 816 1117 1418 519
ood,shared_friction_group_28,0.18333333333333335,7,287,9,880 1181 1482 583 884 1185 1486 588 889
