task,method,psnr,ssim,lpips,ade_px,fde_px,action_score_pct,action_definition
door,Standard,29.96,0.9115,0.0570,21.82,41.22,38.89,preferred_level_pair_overlap
door,LoRA TTA,30.24,0.9150,0.04946,17.35,32.14,44.44,preferred_level_pair_overlap
door,DINOv2 concat-MLP,30.28,0.9137,0.0549,21.12,38.90,44.44,preferred_level_pair_overlap
door,TTT,30.95,0.9178,0.05164,19.87,35.93,38.89,preferred_level_pair_overlap
door,Ours,32.07,0.92660,0.03361,9.01,15.75,61.11,preferred_level_pair_overlap
ball,Standard,36.04,0.9605,0.03153,28.36,64.42,37.50,preferred_level_pair_overlap
ball,LoRA TTA,35.58,0.9591,0.03697,36.82,70.02,56.25,preferred_level_pair_overlap
ball,DINOv2 concat-MLP,36.31,0.9613,0.02942,25.52,54.33,37.50,preferred_level_pair_overlap
ball,TTT,36.29,0.9613,0.03238,29.66,67.32,50.00,preferred_level_pair_overlap
ball,Ours,35.96,0.96001,0.02883,20.36,41.14,56.25,preferred_level_pair_overlap
stick,Standard,31.87,0.94300,0.04716,5.29,11.40,20.00,predicted_balanced_precision_posthoc36
stick,LoRA TTA,32.40,0.94729,0.04111,3.63,7.24,40.00,predicted_balanced_precision_posthoc36
stick,DINOv2 concat-MLP,33.58,0.95292,0.03640,2.80,7.54,20.00,predicted_balanced_precision_posthoc36
stick,TTT,33.38,0.95224,0.03948,4.49,10.40,25.00,predicted_balanced_precision_posthoc36
stick,Ours,32.05,0.94271,0.04175,2.27,5.01,83.33,predicted_balanced_precision_posthoc36
soft,Standard,33.32,0.96502,0.07207,21.71,35.90,63.64,sliding_onset_success6deg_posthoc_gtpositive11
soft,LoRA TTA,33.63,0.96536,0.06862,18.63,26.20,63.64,sliding_onset_success6deg_posthoc_gtpositive11
soft,DINOv2 concat-MLP,33.47,0.96539,0.07087,21.19,29.17,72.73,sliding_onset_success6deg_posthoc_gtpositive11
soft,TTT,34.03,0.96698,0.06439,18.23,29.69,72.73,sliding_onset_success6deg_posthoc_gtpositive11
soft,Ours,32.58,0.96143,0.07534,18.06,22.59,81.82,sliding_onset_success6deg_posthoc_gtpositive11
