cohort,method,queries,psnr_db,ssim,lpips,common_ADE_px,natural_ADE_px,final_FDE_px,common_final_FDE_px,paired_coverage,common_coverage,final_valid_queries
test_all9,standard,18,33.099978138751275,0.9643891959928639,0.07749979265980304,30.284750519509146,30.37595277670063,48.751799522039235,48.751799522039235,0.9940476190476191,0.9841269841269841,18
test_all9,stage1,18,32.34666071602798,0.9606654208937534,0.07932142120239044,22.525531797467536,22.72763382045493,40.674815084123004,40.674815084123004,0.998015873015873,0.9841269841269841,18
test_all9,ours,18,32.46726304044574,0.9607723970108005,0.0792605100820462,22.693502401986034,22.703718494233513,40.3463559850225,40.3463559850225,0.9880952380952381,0.9841269841269841,18
test_all9,dino,18,33.455799819737585,0.9650544775742146,0.07147751822845921,22.342199893464432,22.413095943023862,36.48137376436895,36.48137376436895,0.996031746031746,0.9841269841269841,18
test_shared6,standard,12,32.903659135640936,0.9642145787780211,0.0795773822104647,32.784842489217176,32.945332726024745,39.41445093722443,39.41445093722443,0.9970238095238095,0.9910714285714286,12
test_shared6,stage1,12,32.51668487035076,0.9613777295314376,0.07535536563955247,17.694101970681764,17.912083197251757,22.661687327763573,22.661687327763573,1.0,0.9910714285714286,12
test_shared6,ours,12,32.612291980681135,0.9614628389595374,0.07554626575715485,18.09544776525503,18.119613287756987,22.378706399976306,22.378706399976306,0.9940476190476191,0.9910714285714286,12
test_shared6,dino,12,33.472004672277464,0.9653888864640564,0.07087166953854085,21.190663456420264,21.31724101215315,29.165079924373444,29.165079924373444,0.9970238095238095,0.9910714285714286,12
train_all9,standard,18,35.405854918051766,0.9697589904698956,0.05495596623107319,7.586137300614357,7.635774880297372,10.56250014405472,10.56250014405472,1.0,0.9861111111111112,18
train_all9,stage1,18,34.19169776672289,0.9661244780416965,0.060856960488424185,7.244085205899613,7.251120761486541,10.905781742861265,10.905781742861265,0.9920634920634921,0.9861111111111112,18
train_all9,ours,18,34.297805802281715,0.9662095368494911,0.06071358411720703,7.307787032096958,7.315188125101108,10.93393488132122,10.93393488132122,0.996031746031746,0.9861111111111112,18
train_all9,dino,18,36.694057537993245,0.9741544699219639,0.04607699555714452,2.737205847957272,2.7383261421685363,4.089674182100451,4.089674182100451,0.9900793650793651,0.9861111111111112,18
test/soft-1l,standard,2,32.617303692911086,0.9621633336134134,0.08450166718102992,38.95215104090528,38.95215104090528,64.13838871528603,64.13838871528603,1.0,1.0,2
test/soft-1l,stage1,2,32.4971792581802,0.9591073929356488,0.07314109589372363,11.158026326894252,11.158026326894252,16.64251557667777,16.64251557667777,1.0,1.0,2
test/soft-1l,ours,2,32.331114773597236,0.9589759456511777,0.07380417055849517,11.924877136024742,11.924877136024742,21.786095533078285,21.786095533078285,1.0,1.0,2
test/soft-1l,dino,2,32.93847801697038,0.9634628886656861,0.07495158638006874,19.7539052311783,19.7539052311783,39.603739531613456,39.603739531613456,1.0,1.0,2
test/soft-1r,standard,2,33.364438297376275,0.9648744464931605,0.07557249455047504,24.76730378152962,25.577443433286636,13.4305703136381,13.4305703136381,1.0,0.9821428571428571,2
