task_id,task,method_id,method,psnr,ssim,lpips,object_metric_name,object_metric_unit,object_metric_mean_error,object_metric_final_error,action_success
event80,Push-box Friction,standard,Standard Pooled WM,31.1126110289,0.9512804455,0.066700095,Object Centroid,px,11.0626324,24.4115669932,0.32
event80,Push-box Friction,lora,LoRA TTA,32.0305892732,0.9534704348,0.0581931916,Object Centroid,px,8.19015242,19.1901566461,0.48
event80,Push-box Friction,dino,DINOv2 Context,30.6967826631,0.9494627636,0.0681499333,Object Centroid,px,11.8141519,26.1703010268,0.48
event80,Push-box Friction,ttt_kqv,TTT-KQV,30.7789604187,0.948839946,0.0648913885,Object Centroid,px,10.8136638,23.8675128845,0.32
event80,Push-box Friction,ours,Ours,31.975629637,0.9512595724,0.0495121968,Object Centroid,px,3.85398252,7.5931047649,0.72
gravity,Gravity,standard,Standard Pooled WM,32.5094810698,0.9522585897,0.0344998174,Object Centroid,px,21.4246314,34.8779210562,0.2352941176
gravity,Gravity,lora,LoRA TTA,33.3280329598,0.9540976238,0.023058321,Object Centroid,px,7.90046979,13.7136703883,0.4705882353
gravity,Gravity,dino,DINOv2 Context,34.09516152275933,0.9563566738139085,0.019473417361991274,Object Centroid,px,5.9300029924646855,8.82895184652123,0.7647058823529411
gravity,Gravity,ttt_kqv,TTT-KQV,33.3080467436,0.9548797975,0.029088736,Object Centroid,px,18.95723597,30.9354948256,0.3529411765
gravity,Gravity,ours,Ours,33.3889486737,0.950408559,0.0202085289,Object Centroid,px,7.34081366,11.0652613308,0.8235294118
mass_collision,Mass Collision,standard,Standard Pooled WM,29.8049897194,0.9623012794,0.0904242676,Object Centroid,px,21.9328527,25.736414534,0.3888888889
mass_collision,Mass Collision,lora,LoRA TTA,30.0492417336,0.9619245981,0.069110339,Object Centroid,px,15.87042263,24.5877312348,0.3333333333
mass_collision,Mass Collision,dino,DINOv2 Context,31.03859622478485,0.9667951221959512,0.053974001808092,Object Centroid,px,8.526421727304418,10.2100786169,0.3888888888888889
mass_collision,Mass Collision,ttt_kqv,TTT-KQV,29.3845044136,0.960043644,0.084207404,Object Centroid,px,20.97531743,29.2930041061,0.5555555556
mass_collision,Mass Collision,ours,Ours,31.1501887798,0.9625413722,0.0537618943,Object Centroid,px,6.45219353,8.1321381985,0.6111111111
light_switch,Light Switch,standard,Standard Pooled WM,32.6189145406,0.9479967998,0.0186951045,Lamp Intensity,score,0.1034960864,0.1881967035,0.5
light_switch,Light Switch,lora,LoRA TTA,33.12328128814697,0.9485057978919058,0.0174950047240903,Lamp Intensity,score,0.08281366035107088,0.147690305790501,0.5
light_switch,Light Switch,dino,DINOv2 Context,33.0738995234,0.9522954091,0.016034239,Lamp Intensity,score,0.1000418959,0.1836749078,0.5
light_switch,Light Switch,ttt_kqv,TTT-KQV,32.6917781512,0.9523160458,0.0160710784,Lamp Intensity,score,0.1047955153,0.1887117762,0.5
light_switch,Light Switch,ours,Ours,33.5172878583,0.9442166709,0.0150229902,Lamp Intensity,score,0.0342745937,0.0473541531,0.875
mass_balance,Mass Balance,standard,Standard Pooled WM,32.96856083503137,0.9607626206767492,0.024398168076116306,Bar Tilt,deg,1.1844499692473058,4.557094851157406,0.4
mass_balance,Mass Balance,lora,LoRA TTA,24.89535933274489,0.8857624861469412,0.06309694828322301,Bar Tilt,deg,1.7975106682579431,7.310538616540657,0.5
mass_balance,Mass Balance,dino,DINOv2 Context,33.2625269816472,0.9621318837044164,0.023912931548861358,Bar Tilt,deg,1.263568938800828,4.9480243892307385,0.3
mass_balance,Mass Balance,ttt_kqv,TTT-KQV,32.11395265139066,0.9564854404827889,0.031232861486765053,Bar Tilt,deg,2.507469265724529,10.175889581468788,0.3
mass_balance,Mass Balance,ours,Ours,32.8140349314763,0.960062493683026,0.02395390772189085,Bar Tilt,deg,0.640287438006705,2.0842302290931967,0.8
mass_friction,Mass x Friction,standard,Standard Pooled WM,31.0774675369,0.9648366005,0.0609880909,Object Centroid,px,16.0218932,29.2454469929,0.35000000000000003
mass_friction,Mass x Friction,lora,LoRA TTA,29.8653152704,0.9610607465,0.070110374,Object Centroid,px,16.82824858,26.930177561,0.26666666666666666
mass_friction,Mass x Friction,dino,DINOv2 Context,31.36671099662781,0.9664255161998703,0.05650115123717114,Object Centroid,px,11.811561397574742,19.0756324468,0.6083333333333333
mass_friction,Mass x Friction,ttt_kqv,TTT-KQV,29.73915808200836,0.9614130744191467,0.07264170590788126,Object Centroid,px,18.951118369816783,29.14112422822884,0.3333333333333333
mass_friction,Mass x Friction,ours,Ours,30.6733222961,0.9630712652,0.0499914565,Object Centroid,px,8.14806081,13.7221825827,0.6972222222222223
pushbox_multibackground,Multi-background,standard,Standard Pooled WM,28.201082187228728,0.8045889176759455,0.10586547702550889,Object Centroid,px,8.02603345038876,16.18305496394699,0.4583333333333333
pushbox_multibackground,Multi-background,lora,LoRA TTA,27.985777134365502,0.8006526753637525,0.10741125345230103,Object Centroid,px,6.580490084501955,16.232762193954365,0.5833333333333334
pushbox_multibackground,Multi-background,dino,DINOv2 Context,27.999539841545953,0.8101055667301018,0.1063623882830143,Object Centroid,px,7.736721339585418,16.006474003613008,0.5833333333333334
pushbox_multibackground,Multi-background,ttt_kqv,TTT-KQV,27.691123941209582,0.79017388186521,0.11160413838095136,Object Centroid,px,7.778337814481479,15.586915013508378,0.5833333333333334
pushbox_multibackground,Multi-background,ours,Ours,28.80352024502224,0.8203555447856585,0.08883595168590545,Object Centroid,px,3.714547410660129,6.340304798587124,0.6666666666666666
