task,k,queries,action_pct,action_denominator,psnr,ssim,lpips,ade_px,fde_px,source
ball,1,80,75.0,8,36.190115125072474,0.9605417585228864,0.0242561774677597,14.796933794007074,24.903487262887115,/hai/scratch/cyzhou05/projects/TTT-Physics/repos/BWM-Adapt/results/support_number_analysis/real/ball/k1/metrics/summary_provisional.json
ball,2,80,62.5,8,36.30079216354687,0.9609124725933826,0.023331447853706777,13.853391452645898,23.91992527524352,/hai/scratch/cyzhou05/projects/TTT-Physics/repos/BWM-Adapt/results/support_number_analysis/real/ball/k2/metrics/summary_provisional.json
ball,4,80,62.5,8,36.286075122672834,0.9608566858296372,0.023020966909825802,13.431106886372907,22.427535587763433,/hai/scratch/cyzhou05/projects/TTT-Physics/repos/BWM-Adapt/results/support_number_analysis/real/ball/k4/metrics/summary_provisional.json
door,1,100,44.44444444444444,9,31.486334948666872,0.9226349804725815,0.04022409657947719,12.70876322283752,22.81,/hai/scratch/cyzhou05/projects/TTT-Physics/repos/BWM-Adapt/results/support_number_analysis/real/door/k1/metrics/summary_provisional.json
door,2,100,72.22222222222221,9,32.0701943005731,0.9266010343314189,0.033606871645897624,9.010265096610665,15.75,/hai/scratch/cyzhou05/projects/TTT-Physics/repos/BWM-Adapt/outputs/eval_real97_door_simlr_20260918_v1/summary_provisional.json
door,4,100,72.22222222222221,9,32.422222242481254,0.9287547191854383,0.03096046943217516,7.8019998033759075,11.65,results/support_number_analysis/real/support_level_revision_20260922/door/k4/metrics/summary_provisional.json
stick,1,45,57.14285714285714,7,31.69630947548442,0.9405032515044203,0.04443706426411563,2.941450950612034,6.691956740359425,/hai/scratch/cyzhou05/projects/TTT-Physics/repos/BWM-Adapt/results/support_number_analysis/real/stick/k1/formal_metrics/stick_action_fixed36.json
stick,4,45,100.0,4,32.05039622422813,0.9425500621254143,0.04210832540071732,2.4020351437646887,5.5211525821629115,/hai/scratch/cyzhou05/projects/TTT-Physics/repos/BWM-Adapt/results/support_number_analysis/real/stick/k4/formal_metrics/stick_action_fixed36.json
soft,1,12,81.81818181818181,11,32.52205750976798,0.9613167036381737,0.0758346266146483,18.710056897350935,23.587817311018625,/hai/scratch/cyzhou05/projects/TTT-Physics/repos/BWM-Adapt/results/support_number_analysis/real/soft/k1/formal_metrics/soft_onset6.json
soft,2,12,81.81818181818181,11,32.574345517047774,0.9614238470643207,0.0753540890790256,18.362827326051782,22.74540126412181,/hai/scratch/cyzhou05/projects/TTT-Physics/repos/BWM-Adapt/results/support_number_analysis/real/soft/k2/formal_metrics/soft_onset6.json
