task,variant,k,psnr,ssim,lpips,object_mean,object_final,physical_error,action_success,object_definition,physical_definition,protocol_status,result_root,action_result_source
Event80,K1 informative,1,31.9756296370,0.9512595724,0.0495121968,3.8539825231,7.5931047649,,0.72,Block centroid ADE/FDE (px),,formal,results/pushbox_friction_event80/event80_grid_id5_ood5_k1_oracle_informative_support25_60_v1,
Event80,K2 mean loss,2,31.8390912374,0.9512529116,0.0506932107,4.5535706256,9.9039387583,,0.60,Block centroid ADE/FDE (px),,overlap diagnostic,results/pushbox_friction_event80/event80_k2_k4_frozen_k1_query_overlap_diagnostic_v1/methods/ours/k2,
Event80,K4 mean loss,4,31.8952903959,0.9512943584,0.0500140649,4.2145783780,9.1134242025,,0.64,Block centroid ADE/FDE (px),,overlap diagnostic,results/pushbox_friction_event80/event80_k2_k4_frozen_k1_query_overlap_diagnostic_v1/methods/ours/k4,
Event80,K2 sum loss,2,31.9725418303,0.9515414236,0.0492353467,3.6496120696,7.3966598229,,0.64,Block centroid ADE/FDE (px),,overlap diagnostic,results/pushbox_friction_event80/event80_k2_k4_sum_support_loss_frozen_k1_query_overlap_diagnostic_v1/methods/ours/k2,
Event80,K4 sum loss,4,31.7379311456,0.9509563828,0.0505421797,4.1842388995,8.3387894181,,0.68,Block centroid ADE/FDE (px),,overlap diagnostic,results/pushbox_friction_event80/event80_k2_k4_sum_support_loss_frozen_k1_query_overlap_diagnostic_v1/methods/ours/k4,
Light Switch,K1 red-only,1,32.0889179866,0.9402693521,0.0196391431,0.0826326045,0.1455541097,10.5000000000,0.50,Yellow-light score MAE/final absolute error,Transition-time absolute error (frames),complete,results/lightswitch/physicalpress33_all4env_support8_query15_v1/methods/ours_red_k1_inner40,
Light Switch,K2 red1+blue1,2,33.5172878583,0.9442166709,0.0150229902,0.0342745937,0.0473541531,2.3166666667,0.875,Yellow-light score MAE/final absolute error,Transition-time absolute error (frames),formal,results/lightswitch/physicalpress33_all4env_support8_query15_v1/methods/ours_red1_blue1_k2_inner40,
Light Switch,K4 color-state coverage,4,33.5316547394,0.9443143333,0.0150297570,0.0341413484,0.0472619822,2.3166666667,0.875,Yellow-light score MAE/final absolute error,Transition-time absolute error (frames),complete,results/lightswitch/physicalpress33_all4env_support8_query15_v1/methods/ours_redblue_oppositestate_k4_inner40,
Light Switch,K8 original formal,8,33.4537340482,0.9443145757,0.0149639813,0.0358176758,0.0495825201,2.3000000000,0.875,Yellow-light score MAE/final absolute error,Transition-time absolute error (frames),complete,results/lightswitch/physicalpress33_all4env_support8_query15_v1/methods/ours,
Mass Balance,K1 nearest-unbalanced,1,32.6624252047,0.9592503014,0.0245700889,1.1992919617,3.1347904074,0.7385602103,0.70,Bar centroid ADE/FDE (px),Beam-tilt MAE (deg),formal,results/mass_balance/workspace_random_30ratio_noleak_id5_ood5_k1_nearest_unbalanced_support_dense15_v1,
Mass Balance,K2 unbalanced bracket,2,32.8140349315,0.9600624937,0.0239539077,1.1638925594,3.2415810515,0.6402874380,0.80,Bar centroid ADE/FDE (px),Beam-tilt MAE (deg),complete,results/mass_balance/workspace_random_30ratio_noleak_id5_ood5_k2_bidirectional_near_balance_dense15_v1,
Mass Balance,K2 unbalanced+balanced,2,32.6923593668,0.9594285974,0.0243709448,1.2556133929,2.9247284873,0.6982045067,0.8,Bar centroid ADE/FDE (px),Beam-tilt MAE (deg),complete_model_prediction_actions,results/mass_balance/workspace_random_30ratio_noleak_id5_ood5_k2_nearest_unbalanced_plus_balanced_dense15_v1,results/mass_balance/workspace_random_30ratio_noleak_id5_ood5_k2_nearest_unbalanced_plus_balanced_dense15_v1/methods/ours/step_4300/seed_20260902/action_evaluation_predict_all_actions/summary.json
Mass Balance,K4 mixed,4,32.9213485891,0.9608513676,0.0229006980,1.1240117082,3.0646257543,0.4937517924,0.9,Bar centroid ADE/FDE (px),Beam-tilt MAE (deg),complete_model_prediction_actions,results/mass_balance/workspace_random_30ratio_noleak_id5_ood5_k4_k2plus_random_unbalanced_balanced_dense15_v1,results/mass_balance/workspace_random_30ratio_noleak_id5_ood5_k4_k2plus_random_unbalanced_balanced_dense15_v1/methods/ours/step_4300/seed_20260902/action_evaluation_predict_all_actions/summary.json
